iter	Passed	Remaining
654	4649	16644
655	4656	16639
656	4664	16633
657	4672	16629
658	4679	16621
659	4685	16613
660	4693	16608
661	4700	16600
662	4708	16595
663	4715	16589
664	4722	16582
665	4730	16576
666	4737	16571
667	4745	16565
668	4751	16557
669	4759	16550
670	4765	16539
671	4772	16532
672	4779	16525
673	4786	16518
674	4794	16515
675	4801	16506
676	4808	16498
677	4815	16491
678	4823	16488
679	4831	16483
680	4838	16477
681	4846	16472
682	4854	16467
683	4860	16458
684	4867	16450
685	4874	16442
686	4881	16434
687	4888	16428
688	4895	16420
689	4902	16411
690	4909	16405
691	4917	16401
692	4923	16391
693	4930	16381
694	4937	16374
695	4943	16364
696	4950	16357
697	4957	16348
698	4964	16343
699	4970	16332
700	4978	16326
701	4985	16319
702	4992	16312
703	4999	16304
704	5006	16297
705	5013	16290
706	5020	16282
707	5027	16276
708	5034	16269
709	5042	16263
710	5049	16257
711	5057	16251
712	5065	16246
713	5071	16238
714	5078	16231
715	5086	16226
716	5094	16221
717	5101	16214
718	5108	16207
719	5115	16200
720	5122	16192
721	5130	16185
722	5136	16177
723	5143	16169
724	5150	16162
725	5157	16154
726	5164	16145
727	5171	16139
728	5179	16134
729	5186	16126
730	5193	16119
731	5200	16111
732	5207	16105
733	5214	16098
734	5222	16093
735	5229	16087
736	5236	16079
737	5243	16072
738	5250	16064
739	5257	16056
740	5264	16048
741	5271	16041
742	5278	16033
743	5284	16025
744	5291	16016
745	5298	16008
746	5305	16002
747	5313	15996
748	5320	15991
749	5327	15982
750	5334	15975
751	5341	15967
752	5348	15960
753	5354	15950
754	5361	15943
755	5369	15937
756	5376	15931
757	5384	15925
758	5391	15917
759	5397	15909
760	5404	15902
761	5411	15894
762	5418	15887
763	5425	15878
764	5432	15871
765	5439	15865
766	5447	15858
767	5454	15852
768	5461	15846
769	5469	15840
770	5476	15833
771	5483	15824
772	5490	15816
773	5498	15813
774	5506	15808
775	5513	15802
776	5520	15795
777	5528	15788
778	5535	15782
779	5542	15774
780	5550	15769
781	5557	15763
782	5564	15756
783	5572	15750
784	5580	15744
785	5587	15738
786	5594	15731
787	5601	15723
788	5607	15714
789	5614	15705
790	5621	15699
791	5628	15692
792	5635	15684
793	5642	15677
794	5649	15668
795	5655	15659
796	5662	15652
797	5670	15646
798	5677	15639
799	5685	15635
800	5692	15628
801	5699	15621
802	5706	15613
803	5714	15607
804	5721	15599
805	5727	15592
806	5735	15585
807	5742	15577
808	5749	15570
809	5756	15562
810	5763	15555
811	5771	15550
812	5777	15542
813	5784	15534
814	5791	15527
815	5798	15519
816	5805	15512
817	5812	15504
818	5819	15496
819	5826	15488
820	5833	15482
821	5840	15475
822	5848	15469
823	5855	15463
824	5862	15454
825	5869	15448
826	5876	15440
827	5884	15436
828	5891	15428
829	5898	15420
830	5905	15412
831	5912	15406
832	5919	15399
833	5926	15392
834	5934	15387
835	5941	15379
836	5948	15372
837	5955	15365
838	5962	15356
839	5969	15350
840	5976	15343
841	5983	15335
842	5991	15329
843	5998	15323
844	6006	15318
845	6014	15312
846	6021	15306
847	6028	15298
848	6036	15293
849	6043	15285
850	6051	15280
851	6057	15271
852	6064	15264
853	6071	15256
854	6078	15248
855	6085	15240
856	6092	15234
857	6099	15227
858	6107	15221
859	6114	15214
860	6121	15206
861	6128	15200
862	6135	15193
863	6142	15184
864	6149	15177
865	6157	15173
866	6165	15168
867	6173	15163
868	6180	15156
869	6187	15149
870	6195	15142
871	6202	15136
872	6209	15129
873	6217	15125
874	6224	15117
875	6231	15109
876	6238	15101
877	6244	15092
878	6251	15084
879	6258	15076
880	6264	15067
881	6271	15061
882	6278	15053
883	6285	15044
884	6292	15036
885	6298	15027
886	6304	15019
887	6312	15013
888	6320	15007
889	6326	14999
890	6333	14992
891	6341	14985
892	6348	14978
893	6355	14971
894	6362	14965
895	6369	14957
896	6377	14951
897	6384	14943
898	6391	14936
899	6398	14929
900	6404	14920
901	6411	14913
902	6418	14905
903	6425	14897
904	6432	14890
905	6439	14883
906	6447	14878
907	6455	14873
908	6463	14867
909	6470	14860
910	6477	14853
911	6484	14846
912	6491	14839
913	6498	14831
914	6506	14825
915	6513	14819
916	6521	14813
917	6528	14806
918	6535	14799
919	6542	14792
920	6549	14784
921	6556	14777
922	6564	14771
923	6571	14765
924	6578	14757
925	6585	14749
926	6592	14742
927	6599	14734
928	6606	14726
929	6613	14720
930	6620	14713
931	6627	14706
932	6635	14700
933	6642	14693
934	6649	14685
935	6656	14678
936	6663	14672
937	6671	14665
938	6678	14658
939	6686	14653
940	6693	14645
941	6700	14639
942	6708	14633
943	6715	14626
944	6722	14619
945	6729	14611
946	6736	14603
947	6743	14595
948	6750	14588
949	6757	14581
950	6764	14573
951	6771	14566
952	6778	14559
953	6785	14552
954	6792	14545
955	6799	14538
956	6806	14530
957	6813	14523
958	6821	14516
959	6827	14509
960	6835	14503
961	6843	14497
962	6850	14490
963	6857	14483
964	6865	14477
965	6872	14470
966	6879	14463
967	6886	14456
968	6894	14450
969	6900	14441
970	6907	14434
971	6914	14426
972	6921	14419
973	6928	14412
974	6936	14406
975	6944	14400
976	6951	14394
977	6959	14387
978	6965	14379
979	6973	14373
980	6980	14365
981	6987	14359
982	6994	14352
983	7001	14344
984	7008	14337
985	7015	14330
986	7023	14325
987	7031	14318
988	7038	14311
989	7045	14304
990	7052	14296
991	7059	14289
992	7066	14282
993	7073	14275
994	7080	14268
995	7088	14263
996	7095	14255
997	7102	14247
998	7109	14241
999	7117	14235
1000	7125	14229
1001	7133	14224
1002	7141	14218
1003	7148	14211
1004	7156	14205
1005	7164	14200
1006	7172	14194
1007	7178	14186
1008	7186	14179
1009	7193	14172
1010	7200	14166
1011	7208	14159
1012	7215	14152
1013	7223	14146
1014	7230	14140
1015	7237	14133
1016	7244	14126
1017	7252	14119
1018	7257	14109
1019	7264	14101
1020	7271	14095
1021	7279	14088
1022	7286	14082
1023	7293	14073
1024	7301	14068
1025	7308	14061
1026	7314	14052
1027	7322	14045
1028	7329	14039
1029	7337	14032
1030	7343	14025
1031	7352	14020
1032	7359	14013
1033	7366	14005
1034	7373	13998
1035	7380	13990
1036	7386	13983
1037	7394	13976
1038	7401	13969
1039	7408	13961
1040	7415	13955
1041	7423	13949
1042	7430	13941
1043	7437	13933
1044	7444	13927
1045	7451	13919
1046	7457	13910
1047	7464	13904
1048	7471	13896
1049	7479	13889
1050	7486	13882
1051	7493	13876
1052	7500	13867
1053	7506	13860
1054	7513	13852
1055	7521	13845
1056	7528	13838
1057	7535	13831
1058	7542	13824
1059	7550	13819
1060	7557	13812
1061	7565	13806
1062	7573	13799
1063	7580	13793
1064	7587	13786
1065	7595	13779
1066	7602	13772
1067	7609	13765
1068	7616	13757
1069	7623	13750
1070	7630	13743
1071	7638	13737
1072	7645	13730
1073	7652	13723
1074	7659	13715
1075	7667	13710
1076	7675	13704
1077	7682	13697
1078	7689	13689
1079	7696	13681
1080	7703	13674
1081	7709	13666
1082	7717	13660
1083	7725	13654
1084	7732	13647
1085	7738	13638
1086	7745	13630
1087	7752	13623
1088	7759	13616
1089	7765	13607
1090	7772	13600
1091	7780	13593
1092	7786	13585
1093	7793	13577
1094	7800	13570
1095	7807	13563
1096	7814	13555
1097	7820	13547
1098	7827	13539
1099	7834	13531
1100	7840	13523
1101	7847	13515
1102	7853	13506
1103	7860	13499
1104	7867	13492
1105	7874	13484
1106	7880	13476
1107	7887	13469
1108	7895	13462
1109	7901	13454
1110	7908	13446
1111	7915	13439
1112	7922	13431
1113	7929	13424
1114	7936	13417
1115	7943	13410
1116	7951	13404
1117	7959	13398
1118	7966	13392
1119	7974	13385
1120	7982	13379
1121	7989	13372
1122	7996	13365
1123	8003	13358
1124	8011	13352
1125	8018	13344
1126	8025	13337
1127	8032	13330
1128	8039	13323
1129	8047	13317
1130	8055	13311
1131	8062	13304
1132	8068	13296
1133	8076	13289
1134	8083	13282
1135	8091	13276
1136	8098	13270
1137	8106	13264
1138	8113	13256
1139	8120	13249
1140	8127	13241
1141	8133	13233
1142	8140	13225
1143	8147	13218
1144	8154	13210
1145	8161	13203
1146	8167	13195
1147	8174	13187
1148	8181	13179
1149	8188	13172
1150	8195	13165
1151	8201	13157
1152	8209	13150
1153	8216	13142
1154	8223	13135
1155	8229	13127
1156	8237	13121
1157	8244	13114
1158	8252	13108
1159	8258	13100
1160	8265	13093
1161	8273	13086
1162	8279	13078
1163	8286	13070
1164	8294	13064
1165	8300	13056
1166	8308	13049
1167	8315	13042
1168	8322	13035
1169	8329	13028
1170	8337	13021
1171	8344	13015
1172	8352	13009
1173	8359	13002
1174	8367	12996
1175	8375	12989
1176	8382	12982
1177	8389	12976
1178	8397	12970
1179	8405	12964
1180	8412	12957
1181	8420	12951
1182	8427	12943
1183	8433	12935
1184	8440	12928
1185	8448	12921
1186	8455	12915
1187	8463	12908
1188	8470	12900
1189	8476	12893
1190	8483	12885
1191	8490	12878
1192	8497	12871
1193	8505	12865
1194	8513	12859
1195	8521	12853
1196	8527	12845
1197	8534	12837
1198	8541	12830
1199	8549	12824
1200	8556	12817
1201	8564	12810
1202	8571	12804
1203	8579	12797
1204	8587	12791
1205	8594	12784
1206	8600	12776
1207	8607	12769
1208	8614	12761
1209	8621	12754
1210	8629	12747
1211	8636	12741
1212	8643	12733
1213	8650	12725
1214	8657	12719
1215	8665	12712
1216	8672	12706
1217	8680	12699
1218	8687	12692
1219	8695	12687
1220	8703	12680
1221	8710	12673
1222	8717	12666
1223	8725	12660
1224	8733	12654
1225	8741	12649
1226	8749	12643
1227	8756	12636
1228	8763	12628
1229	8771	12621
1230	8778	12615
1231	8785	12607
1232	8792	12600
1233	8799	12593
1234	8807	12587
1235	8814	12579
1236	8820	12571
1237	8828	12565
1238	8835	12557
1239	8842	12550
1240	8849	12543
1241	8856	12535
1242	8862	12527
1243	8869	12519
1244	8875	12511
1245	8883	12505
1246	8890	12497
1247	8897	12490
1248	8904	12484
1249	8912	12477
1250	8920	12471
1251	8927	12464
1252	8934	12457
1253	8942	12450
1254	8949	12443
1255	8956	12436
1256	8963	12428
1257	8970	12421
1258	8977	12414
1259	8984	12407
1260	8991	12400
1261	8999	12393
1262	9006	12386
1263	9013	12379
1264	9021	12373
1265	9029	12366
1266	9036	12360
1267	9044	12354
1268	9051	12347
1269	9058	12340
1270	9066	12333
1271	9073	12325
1272	9080	12318
1273	9087	12311
1274	9094	12304
1275	9101	12296
1276	9108	12289
1277	9115	12282
1278	9122	12275
1279	9129	12268
1280	9137	12261
1281	9144	12254
1282	9151	12247
1283	9158	12240
1284	9166	12234
1285	9173	12226
1286	9181	12220
1287	9188	12212
1288	9194	12205
1289	9201	12197
1290	9208	12190
1291	9215	12183
1292	9222	12175
1293	9229	12168
1294	9237	12161
1295	9245	12155
1296	9251	12148
1297	9259	12141
1298	9267	12135
1299	9274	12128
1300	9280	12119
1301	9287	12112
1302	9294	12104
1303	9301	12097
1304	9309	12091
1305	9316	12084
1306	9322	12076
1307	9329	12068
1308	9337	12061
1309	9344	12054
1310	9351	12047
1311	9358	12041
1312	9365	12033
1313	9373	12027
1314	9380	12019
1315	9387	12012
1316	9395	12006
1317	9403	12000
1318	9410	11993
1319	9418	11986
1320	9424	11978
1321	9431	11970
1322	9437	11962
1323	9445	11956
1324	9452	11949
1325	9460	11943
1326	9467	11936
1327	9475	11929
1328	9481	11921
1329	9488	11914
1330	9495	11906
1331	9503	11900
1332	9510	11893
1333	9517	11886
1334	9526	11880
1335	9533	11873
1336	9541	11867
1337	9548	11860
1338	9555	11853
1339	9563	11847
1340	9570	11840
1341	9578	11833
1342	9585	11826
1343	9593	11820
1344	9600	11813
1345	9607	11806
1346	9614	11798
1347	9621	11791
1348	9629	11785
1349	9636	11778
1350	9643	11770
1351	9650	11763
1352	9658	11756
1353	9665	11749
1354	9672	11742
1355	9679	11735
1356	9686	11728
1357	9694	11721
1358	9700	11713
1359	9708	11707
1360	9716	11700
1361	9723	11693
1362	9730	11686
1363	9737	11679
1364	9744	11672
1365	9752	11665
1366	9760	11659
1367	9768	11653
1368	9774	11645
1369	9780	11637
1370	9788	11630
1371	9795	11623
1372	9803	11616
1373	9810	11610
1374	9818	11603
1375	9826	11597
1376	9833	11589
1377	9840	11582
1378	9848	11576
1379	9856	11570
1380	9863	11563
1381	9870	11556
1382	9877	11548
1383	9884	11541
1384	9891	11533
1385	9898	11527
1386	9907	11521
1387	9913	11513
1388	9920	11506
1389	9927	11498
1390	9934	11491
1391	9940	11483
1392	9948	11476
1393	9955	11468
1394	9961	11460
1395	9968	11453
1396	9974	11445
1397	9981	11438
1398	9988	11431
1399	9995	11423
1400	10001	11415
1401	10008	11407
1402	10014	11399
1403	10021	11392
1404	10029	11385
1405	10036	11378
1406	10043	11371
1407	10050	11364
1408	10057	11357
1409	10065	11350
1410	10072	11343
1411	10079	11335
1412	10086	11328
1413	10093	11321
1414	10099	11313
1415	10106	11305
1416	10113	11298
1417	10120	11291
1418	10127	11284
1419	10134	11276
1420	10142	11270
1421	10150	11263
1422	10156	11255
1423	10163	11248
1424	10170	11240
1425	10176	11232
1426	10183	11225
1427	10190	11217
1428	10196	11210
1429	10203	11202
1430	10211	11195
1431	10217	11187
1432	10224	11180
1433	10231	11173
1434	10239	11167
1435	10246	11160
1436	10253	11152
1437	10260	11144
1438	10267	11138
1439	10274	11130
1440	10281	11123
1441	10288	11116
1442	10296	11109
1443	10304	11103
1444	10311	11096
1445	10318	11089
1446	10325	11081
1447	10333	11075
1448	10339	11067
1449	10346	11059
1450	10353	11052
1451	10360	11045
1452	10367	11037
1453	10375	11031
1454	10382	11024
1455	10389	11017
1456	10397	11010
1457	10404	11004
1458	10411	10996
1459	10418	10988
1460	10424	10980
1461	10431	10974
1462	10439	10967
1463	10447	10961
1464	10454	10953
1465	10459	10945
1466	10466	10937
1467	10472	10929
1468	10479	10922
1469	10486	10914
1470	10493	10907
1471	10500	10900
1472	10507	10893
1473	10514	10885
1474	10522	10878
1475	10528	10871
1476	10535	10863
1477	10542	10856
1478	10549	10848
1479	10556	10842
1480	10563	10834
1481	10569	10826
1482	10575	10818
1483	10582	10810
1484	10589	10803
1485	10597	10796
1486	10603	10789
1487	10611	10782
1488	10618	10775
1489	10625	10767
1490	10631	10760
1491	10639	10753
1492	10646	10746
1493	10653	10738
1494	10660	10731
1495	10668	10725
1496	10676	10718
1497	10682	10711
1498	10689	10704
1499	10696	10696
1500	10703	10689
1501	10710	10681
1502	10716	10673
1503	10723	10666
1504	10730	10659
1505	10736	10651
1506	10744	10644
1507	10751	10637
1508	10758	10629
1509	10766	10623
1510	10773	10616
1511	10781	10610
1512	10788	10602
1513	10795	10596
1514	10803	10589
1515	10809	10581
1516	10815	10573
1517	10822	10565
1518	10829	10558
1519	10835	10550
1520	10843	10543
1521	10849	10535
1522	10856	10528
1523	10863	10521
1524	10871	10514
1525	10877	10506
1526	10883	10499
1527	10891	10492
